Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Straße;PLZ;Ort;Politischer Bezirk;Postadresse / Straße;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gruendungsdatum;ZweigniederlassungVon
Zweigstelle;341371;20333;;Sparkassen;;Sparkasse Ried im Innkreis-Haag am Hausruck Filiale Lohnsburg;Kirchenplatz 32;4923;Lohnsburg/Kobernaußerwald;Ried im Innkreis;;;;;Oberösterreich;050100/49495;050100/949495;;;;;164283
Zweigstelle;380474;20333;;Sparkassen;;Sparkasse Ried im Innkreis-Haag am Hausruck Filiale Mettmach;Mettmach 27;4931;Mettmach;Ried im Innkreis;;;;;Oberösterreich;050100/49497;050100/949497;;;;;164283
Zweigstelle;341320;20333;;Sparkassen;;Sparkasse Ried im Innkreis-Haag am Hausruck Filiale Pram;Hofmark 3;4742;Pram;Grieskirchen;;;;;Oberösterreich;050100/49493;050100/949493;;;;;164283
Zweigstelle;1617680;20333;;Sparkassen;;Sparkasse Ried im Innkreis-Haag am Hausruck Filiale Ried Krankenhaus;Schloßberg 1;4910;Ried/Innkreis;Ried im Innkreis;;;;;Oberösterreich;050100/49498;050100/949498;;;;19910701;164283
Zweigstelle;341312;20333;;Sparkassen;;Sparkasse Ried im Innkreis-Haag am Hausruck Filiale Ried-Lughofergrund;Goethestraße 21;4910;Ried/Innkreis;Ried im Innkreis;;;;;Oberösterreich;050100/49494;050100/949494;;;;;164283
Zweigstelle;341363;20333;;Sparkassen;;Sparkasse Ried im Innkreis-Haag am Hausruck Filiale Taiskirchen;Hofmarkt 3;4753;Taiskirchen;Ried im Innkreis;;;;;Oberösterreich;050100/49496;050100/949496;;;;;164283
Hauptanstalt;149233;20314;KI;Sparkassen;225184d;Sparkasse Salzkammergut AG;Sparkassenplatz 1;4820;Bad Ischl;Gmunden;;4820;Bad Ischl;38;Oberösterreich;050100/49500;050100/949500;office@salzkammergut.sparkasse.at;SKBIAT21;;20020703;
Zweigstelle;340278;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Bad Goisern;Untere Marktstraße 5;4822;Bad Goisern;Gmunden;;;;;Oberösterreich;050100/49503;050100/949503;badgoisern@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;340294;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Ebensee;Bahnhofstraße 6;4802;Ebensee;Gmunden;;;;;Oberösterreich;050100/49502;050100/949502;ebensee@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;340324;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Gosau;Gosau 499;4824;Gosau;Gmunden;;;;;Oberösterreich;050100/49507;050100/949507;gosau@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;340316;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Hallstatt;Markt 58;4830;Hallstatt;Gmunden;;;;;Oberösterreich;050100/49505;050100/949505;hallstatt@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;340308;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Pfandl;St. Wolfganger Straße 1;4820;Bad Ischl;Gmunden;;;;;Oberösterreich;050100/49506;050100/949506;pfandl@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;340260;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Reiterndorf;Perneckerstraße 3;4820;Bad Ischl;Gmunden;;;;;Oberösterreich;050100/49504;050100/949504;reiterndorf@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;340286;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale St. Wolfgang;Markt 88;5360;St.Wolfgang;Gmunden;;;;;Oberösterreich;050100/49501;050100/949501;stwolfgang@salzkammergut.sparkasse.at;;;;149233
Zweigstelle;342297;20314;;Sparkassen;;Sparkasse Salzkammergut AG Filiale Strobl;Ischler Straße 126;5350;Strobl;Salzburg-Umgebung;;;;;Salzburg;050100/49510;050100/949510;strobl@salzkammergut.sparkasse.at;;;;149233
Hauptanstalt;244830;20257;KI;Sparkassen;226067b;Sparkasse Scheibbs AG;Hauptstraße 9;3270;Scheibbs;Scheibbs;;;;;Niederösterreich;050100/79900;050100/979900;info@scheibbs.sparkasse.at;SPSBAT21;www.sparkasse.at/scheibbs;20020718;
Zweigstelle;528544;20257;;Sparkassen;;Sparkasse Scheibbs AG Filiale Purgstall;Kirchenstraße 12-14;3251;Purgstall/Erlauf;Scheibbs;Hauptstraße 9;3270;Scheibbs;;Niederösterreich;050100/79905;050100/979905;;;;19880808;244830
Zweigstelle;339350;20257;;Sparkassen;;Sparkasse Scheibbs AG Filiale Wieselburg;Hauptplatz 3;3250;Wieselburg/Erl.;Scheibbs;Hauptstraße 9;3270;Scheibbs;;Niederösterreich;050100/79904;050100/979904;;;;;244830
Hauptanstalt;80675;20510;KI;Sparkassen;280193z;Sparkasse Schwaz AG;Franz-Josef-Straße 8-10;6130;Schwaz;Schwaz;;6130;Schwaz;45;Tirol;050100/77300;050100/977300;info@sparkasse-schwaz.at;SPSCAT22;www.sparkasse-schwaz.at;18720101;
Zweigstelle;343854;20510;;Sparkassen;;Sparkasse Schwaz AG Filale Maurach am Achensee;Dorfstraße 15;6212;Maurach;Schwaz;;;;;Tirol;050100/77510;050100/977510;maurach@sparkasse-schwaz.at;;;19781006;80675
Zweigstelle;343846;20510;;Sparkassen;;Sparkasse Schwaz AG Filalen Tux;Lanersbach 416;6293;Tux;Schwaz;;;;;Tirol;050100/77490;050100/977490;tux@sparkasse-schwaz.at;;;19780710;80675
Zweigstelle;1291823;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Achenkirch;Achenkirch 371;6215;Achenkirch;Schwaz;;;;;Tirol;050100/77550;050100/977550;achenkirch@sparkasse-schwaz.at;;;19891023;80675
Zweigstelle;343919;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Fügen-Dorf;Dorfplatz 6;6263;Fügen;Schwaz;;6263;Fügen;29;Tirol;050100/77440;050100/977440;fuegen@sparkasse-schwaz.at;;;19700101;80675
Zweigstelle;6110860;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Fügen-Karl-Mauracher-Weg;Karl-Mauracher-Weg 40;6263;Fügen;Schwaz;;6263;Fügen;29;Tirol;050100/77440;050100/977440;fuegen@sparkasse-schwaz.at;;;20031201;80675
Zweigstelle;1504452;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Gerlos;Gerlos 169;6281;Gerlos;Schwaz;;;;;Tirol;050100/77560;050100/977560;gerlos@sparkasse-schwaz.at;;;19901214;80675
Zweigstelle;343889;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Jenbach;Achenseestraße 29;6200;Jenbach;Schwaz;;6200;Jenbach;27;Tirol;050100/77460;050100/977460;jenbach@sparkasse-schwaz.at;;;19380101;80675
Zweigstelle;343820;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Kaltenbach;Kaltenbach 194;6272;Kaltenbach;Schwaz;;;;;Tirol;050100/77500;050100/977500;kaltenbach@sparkasse-schwaz.at;;;19780707;80675
Zweigstelle;343897;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Mayrhofen;Hauptstraße 450;6290;Mayrhofen;Schwaz;;6290;Mayrhofen;98;Tirol;050100/77420;050100/977420;mayrhofen@sparkasse-schwaz.at;;;19600101;80675
Zweigstelle;343838;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Schwaz-Ost;Mag.Josef-Außerhofer-Straße 10;6130;Schwaz;Schwaz;;6130;Schwaz;45;Tirol;050100/77520;050100/977520;schwaz-ost@sparkasse-schwaz.at;;;19780630;80675
Zweigstelle;343862;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Swarovskistraße;Swarovskistraße 10a;6130;Schwaz;Schwaz;;6130;Schwaz;45;Tirol;050100/77540;050100/977540;swarovskistrasse@sparkasse-schwaz.at;;;19850927;80675
Zweigstelle;343927;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Weer;Dorfstraße 4;6114;Weer;Schwaz;;6114;Weer;27;Tirol;050100/77480;050100/977480;weer@sparkasse-schwaz.at;;;19720101;80675
Zweigstelle;343870;20510;;Sparkassen;;Sparkasse Schwaz AG Filiale Zell am Ziller;Gerlosstraße 6;6280;Zell/Ziller;Schwaz;;6280;Zell/Ziller;18;Tirol;050100/77530;050100/977530;zell@sparkasse-schwaz.at;;;19830612;80675
Hauptanstalt;1831828;20839;KI;Sparkassen;49341k;Sparkasse Voitsberg-Köflach BankAG;Bahnhofstraße 2;8570;Voitsberg;Voitsberg;;8570;Voitsberg;11;Steiermark;03142/24111;03142/24924;info@voitsberg-koeflach.sparkasse.at;SPVOAT21;www.sparkasse.at/voitsberg-koeflach/home;19920616;
Zweigstelle;346624;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Bärnbach;Hauptplatz 3;8572;Bärnbach;Voitsberg;;;;;Steiermark;03142/62582;03142/6258230;baernbach@voitsberg-koeflach.sparkasse.at;;;;1831828
Zweigstelle;346632;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Köflach-Hauptplatz;Hauptplatz 4;8580;Köflach;Voitsberg;;;;;Steiermark;03144/70808;03144/7080830;koeflach@voitsberg-koeflach.sparkasse.at;;;;1831828
Zweigstelle;346667;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Krottendorf-Gaisfeld;Krottendorf 8;8564;Krottendorf/Gaisfeld;Voitsberg;;;;;Steiermark;03143/6044;03143/604430;krottendorf@voitsberg-koeflach.sparkasse.at;;;;1831828
Zweigstelle;346608;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Maria Lankowitz;Hauptstraße 35;8591;Maria Lankowitz;Voitsberg;;;;;Steiermark;03144/70818;03144/7081830;lankowitz@voitsberg-koeflach.sparkasse.at;;;;1831828
Zweigstelle;346691;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Rosental an der Kainach;Hauptstraße 86;8582;Rosental an der Kainach;Voitsberg;;;;;Steiermark;03142/21225;03142/2122530;rosental@voitsberg-koeflach.sparkasse.at;;;;1831828
Zweigstelle;346616;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Söding;Packerstraße 101;8561;Söding;Voitsberg;;;;;Steiermark;03137/6118;03137/611830;soeding@voitsberg-koeflach.sparkasse.at;;;;1831828
Zweigstelle;1585541;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Stallhofen;Stallhofen 29;8152;Stallhofen;Voitsberg;;;;;Steiermark;03142/25450;03142/2545030;stallhofen@voitsberg-koeflach.sparkasse.at;;;19910610;1831828
Zweigstelle;346683;20839;;Sparkassen;;Sparkasse Voitsberg-Köflach BankAG Filiale Voitsberg-West;Conrad v.Hötzendorfstraße 27;8570;Voitsberg;Voitsberg;;;;;Steiermark;03142/23986;03142/2398630;west@voitsberg-koeflach.sparkasse.at;;;;1831828
Filiale;8868506;19955;ZW;§9 - Institute laut BWG;315815i;Standard Chartered Bank Zweigniederlassung Wien;Kärntner Straße 21-23;1010;Wien;Wien;;;;;Wien;01/515670;01/5156715;;;www.standardchartered.com;20081015;1267299
Filiale;5953413;75100;ZW;§9 - Institute laut BWG;237384w;State Street Bank GmbH Filiale Wien;Schottengasse 4;1010;Wien;Wien;;1014;Wien;165;Wien;01/25393100;01/25393499;Ssb.vienna@statestreet.com;SBOSATWW;;20030725;2244217
Hauptanstalt;1643827;20815;KI;Sparkassen;34274d;Steiermärkische Bank und Sparkassen AG;Sparkassenplatz 4;8010;Graz;Graz;;8011;Graz;844;Steiermark;050100/36000;050100/936000;info@steiermaerkische.at;STSPAT2G;www.sparkasse.at/steiermaerkische;19910709;
Zweigstelle;346322;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Admont;Dr.Genger Platz 536;8911;Admont;Liezen;;;;;Steiermark;050100/36092;050100/936092;;;;;1643827
Zweigstelle;2642760;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Aflenz-Kurort;Mariazellerstraße 48;8623;Aflenz-Kurort;Bruck an der Mur;;;;;Steiermark;050100/36063;050100/936063;;;;;1643827
Zweigstelle;345296;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Altaussee;Altaussee 117;8992;Altaussee;Liezen;;;;;Steiermark;050100/36217;050100/936217;;;;;1643827
Zweigstelle;345652;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Am Eisernen Tor;Joanneumring 2-4;8010;Graz;Graz;;;;;Steiermark;050100/36021;050100/936021;;;;;1643827
Zweigstelle;346756;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Andritz-St. Radegund;Andritzer Reichsstraße 29;8045;Graz;Graz;;;;;Steiermark;050100/36005;050100/936005;;;;;1643827
Zweigstelle;458090;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Anger;Roseggerstraße 2;8184;Anger;Weiz;;;;;Steiermark;050100/36120;050100/936120;;;;;1643827
Zweigstelle;345520;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Annenstraße;Annenstraße 25;8020;Graz;Graz;;;;;Steiermark;050100/36040;050100/936040;;;;;1643827
Zweigstelle;346250;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Arnfels;Sparkassenplatz 27;8454;Arnfels;Leibnitz;;;;;Steiermark;050100/36134;050100/936134;;;;;1643827
Zweigstelle;345601;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Auf der Tändelwiese;Auf der Tändelwiese 20;8020;Graz;Graz;;;;;Steiermark;050100/36039;050100/936039;;;;;1643827
Zweigstelle;5629888;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Bad Aussee;Bahnhofstraße 95;8990;Bad Aussee;Liezen;;;;;Steiermark;050100/36216;050100/936216;;;;;1643827
Zweigstelle;345415;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Bad Gleichenberg;Grazer Straße 4;8344;Bad Gleichenberg;Feldbach;;;;;Steiermark;050100/36275;050100/936275;;;;;1643827
Zweigstelle;345300;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Bad Mitterndorf;Bad Mitterndorf 348;8983;Bad Mitterndorf;Liezen;;;;;Steiermark;050100/36218;050100/936218;;;;;1643827
Zweigstelle;346209;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Bad Radkersburg;Hauptplatz 8;8490;Bad Radkersburg;Radkersburg;;;;;Steiermark;050100/36110;050100/936110;;;;;1643827
Zweigstelle;345911;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Bad Waltersdorf;Bad Waltersdorf 59;8271;Bad Waltersdorf;Hartberg;;;;;Steiermark;050100/36188;050100/936188;;;;;1643827
Zweigstelle;5525829;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Birkfeld;Gasenerstraße 1;8190;Birkfeld;Weiz;;;;;Steiermark;050100/36126;050100/936126;;;;20020521;1643827
Zweigstelle;6544100;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Bruck-Stadt;Dr.h.c.Theodor-Körner-Straße 1;8600;Bruck a. d. Mur;Bruck an der Mur;;;;;Steiermark;050100/36224;050100/936224;;;;;1643827
Zweigstelle;345750;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Citypark;Lazarettgürtel 55;8020;Graz;Graz;;;;;Steiermark;050100/36024;050100/936024;;;;;1643827
Zweigstelle;345539;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Deutschlandsberg;Frauentalerstraße 79;8530;Deutschlandsberg;Deutschlandsberg;;;;;Steiermark;050100/36066;050100/936066;;;;;1643827
Zweigstelle;345709;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Deutschlandsberg-Hauptplatz;Hauptplatz 33;8530;Deutschlandsberg;Deutschlandsberg;;;;;Steiermark;050100/36067;050100/936067;;;;;1643827
Zweigstelle;346772;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Dietrichsteinplatz;Dietrichsteinplatz 15;8010;Graz;Graz;;;;;Steiermark;050100/36002;050100/936002;;;;;1643827
Zweigstelle;4501594;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Donnersbachwald;Donnersbachwald 85;8953;Donnersbachwald;Liezen;;;;;Steiermark;050100/36179;050100/936179;;;;19951225;1643827
Zweigstelle;345687;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Eggenberg;Eggenberger Allee 42;8020;Graz;Graz;;;;;Steiermark;050100/36022;050100/936022;;;;;1643827
Zweigstelle;1485148;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Eggersdorf;Tragbergstraße 2;8063;Eggersdorf;Graz-Umgebung;;;;;Steiermark;050100/36119;050100/936119;;;;19901022;1643827
Zweigstelle;346152;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Ehrenhausen;Ehrenhausen 48;8461;Ehrenhausen;Leibnitz;;;;;Steiermark;050100/36103;050100/936103;;;;;1643827
Zweigstelle;1319922;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Eibiswald;Hauptplatz 16;8552;Eibiswald;Deutschlandsberg;;;;;Steiermark;050100/36070;050100/936070;;;;;1643827
Zweigstelle;346292;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Eisenerz;Dr.-Theodor-Körner-Platz 2;8790;Eisenerz;Leoben;;;;;Steiermark;050100/36241;050100/936241;;;;;1643827
Zweigstelle;346748;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Europaplatz;Bahnhofgürtel 83;8020;Graz;Graz;;;;;Steiermark;050100/36001;050100/936001;;;;;1643827
Zweigstelle;345407;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Fehring;Hauptplatz 6;8350;Fehring;Feldbach;;;;;Steiermark;050100/36281;050100/936281;;;;;1643827
Zweigstelle;8748870;20809;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Feldbach;Hauptplatz 31;8330;Feldbach;Feldbach;;;;;Steiermark;050100/36273;050100/936273;;;;;1643827
Zweigstelle;345555;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Feldkirchen;Triesterstraße 45;8073;Feldkirchen;Graz-Umgebung;;;;;Steiermark;050100/36045;050100/936045;;;;;1643827
Zweigstelle;345580;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Flughafen Graz;Flughafenstraße 51;8073;Feldkirchen;Graz-Umgebung;;;;;Steiermark;050100/36055;050100/936055;;;;;1643827
Zweigstelle;4683455;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Fohnsdorf;Arena am Waldfeld 7;8753;Fohnsdorf;Judenburg;;;;;Steiermark;050100/36264;050100/936264;;;;20000530;1643827
Zweigstelle;345890;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Friedberg;Wienerstraße 4;8240;Friedberg;Hartberg;;;;;Steiermark;050100/36183;050100/936183;;;;;1643827
Zweigstelle;345806;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Frohnleiten;Hauptplatz 14;8130;Frohnleiten;Graz-Umgebung;;;;;Steiermark;050100/36049;050100/936049;;;;;1643827
Zweigstelle;346470;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Frojach;Frojach 5;8841;Frojach;Murau;;;;;Steiermark;050100/36162;050100/936162;;;;;1643827
Zweigstelle;9033521;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Fürstenfeld;Augustinerplatz 5;8280;Fürstenfeld;Fürstenfeld;;;;;Steiermark;050100/36299;050100/936299;;;;20080726;1643827
Zweigstelle;345660;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Glacisstraße;Glacisstraße 25;8010;Graz;Graz;;;;;Steiermark;050100/36027;050100/936027;;;;;1643827
Zweigstelle;346160;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gleinstätten;Gleinstätten 189;8443;Gleinstätten;Leibnitz;;;;;Steiermark;050100/36104;050100/936104;;;;;1643827
Zweigstelle;6544118;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gleisdorf;Sparkassenplatz 1;8200;Gleisdorf;Weiz;;;;;Steiermark;050100/36117;050100/936117;;;;;1643827
Zweigstelle;345431;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gnas;Gnas 15;8342;Gnas;Feldbach;;;;;Steiermark;050100/36276;050100/936276;;;;;1643827
Zweigstelle;346268;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Göss;Turmgasse 7a;8700;Leoben;Leoben;;;;;Steiermark;050100/36245;050100/936245;;;;;1643827
Zweigstelle;346845;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gösting;Anton Kleinoscheg-Straße 33;8051;Graz;Graz;;;;;Steiermark;050100/36011;050100/936011;;;;;1643827
Zweigstelle;1845209;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Grafendorf;Hauptstraße 228;8232;Grafendorf;Hartberg;;;;;Steiermark;050100/36189;050100/936189;;;;19921004;1643827
Zweigstelle;345857;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gratkorn;Brucker Straße 8;8101;Gratkorn;Graz-Umgebung;;;;;Steiermark;050100/36046;050100/936046;;;;;1643827
Zweigstelle;345490;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gratwein;Bahnhofstraße 4;8112;Gratwein;Graz-Umgebung;;;;;Steiermark;050100/36051;050100/936051;;;;;1643827
Zweigstelle;346551;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Gröbming;Hauptstraße 375;8962;Gröbming;Liezen;;;;;Steiermark;050100/36175;050100/936175;;;;;1643827
Zweigstelle;345717;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Groß St. Florian;Marktstraße 10a;8522;Groß St.Florian;Deutschlandsberg;;;;;Steiermark;050100/36068;050100/936068;;;;;1643827
Zweigstelle;8610592;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Hart bei Graz;Pachern-Hauptstraße 88;8075;Hart bei Graz;Graz-Umgebung;;;;;Steiermark;050100/36038;050100/936038;;;;20080505;1643827
Zweigstelle;10089462;20818;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Hartberg;Sparkassenplatz 1;8230;Hartberg;Hartberg;;;;;Steiermark;050100/36182;050100/936182;;;;;1643827
Zweigstelle;345873;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Hartberg Herrengasse;Herrengasse 21;8230;Hartberg;Hartberg;;;;;Steiermark;050100/36186;050100/936186;;;;;1643827
Zweigstelle;10851410;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Hasnerplatz;Theodor-Körner-Straße 59;8010;Graz;Graz;;;;;Steiermark;050100/36035;050100/936035;;;;20110606;1643827
Zweigstelle;346543;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Haus;Marktstraße 30;8967;Haus;Liezen;;;;;Steiermark;050100/36176;050100/936176;;;;;1643827
Zweigstelle;345504;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Hausmannstätten;Marktplatz 4;8071;Hausmannstätten;Graz-Umgebung;;;;;Steiermark;050100/36054;050100/936054;;;;;1643827
Zweigstelle;458481;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Heiligenkreuz;Marktplatz 18;8081;Heiligenkreuz/Waasen;Leibnitz;;;;;Steiermark;050100/36145;050100/936145;;;;;1643827
Zweigstelle;7529350;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Hitzendorf;Hitzendorf 63;8151;Hitzendorf;Graz-Umgebung;;;;;Steiermark;050100/36057;050100/936057;;;;20060616;1643827
Zweigstelle;345458;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Ilz;Hauptplatz 5;8262;Ilz;Fürstenfeld;;;;;Steiermark;050100/36282;050100/936282;;;;;1643827
Zweigstelle;1485199;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Irdning;Hauptplatz 2;8952;Irdning;Liezen;;;;;Steiermark;050100/36079;050100/936079;;;;19900920;1643827
Zweigstelle;4595491;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Judenburg;Frauengasse 2;8750;Judenburg;Judenburg;;;;;Steiermark;050100/36269;050100/936269;;;;20000303;1643827
Zweigstelle;4249399;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Judendorf;Hauptplatz 5;8111;Judendorf-Straßengel;Graz-Umgebung;;;;;Steiermark;050100/36056;050100/936056;;;;19990503;1643827
Zweigstelle;1737791;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kaindorf;Grazer Straße 137;8430;Kaindorf/Sulm;Leibnitz;;;;;Steiermark;050100/36107;050100/936107;;;;19920406;1643827
Zweigstelle;345865;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kaindorf bei Hartberg;Kaindorf 282;8224;Kaindorf;Hartberg;;;;;Steiermark;050100/36187;050100/936187;;;;;1643827
Zweigstelle;345776;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kalsdorf;Hauptstraße 104;8401;Kalsdorf;Graz-Umgebung;;;;;Steiermark;050100/36047;050100/936047;;;;;1643827
Zweigstelle;345814;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kalvariengürtel;Kalvarienbergstraße 56;8020;Graz;Graz;;;;;Steiermark;050100/36037;050100/936037;;;;;1643827
Zweigstelle;7190433;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kapfenberg-ece;Wiener Straße 35a;8605;Kapfenberg-ece;Bruck an der Mur;;;;;Steiermark;050100/36222;050100/936222;;;;20051114;1643827
Zweigstelle;345385;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kapfenberg-Schirmitzbühel;Hugo-Wolf-Straße 1a;8605;Kapfenberg;Bruck an der Mur;;;;;Steiermark;050100/36227;050100/936227;;;;19640210;1643827
Zweigstelle;1813528;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kindberg;Hauptstraße 20;8650;Kindberg;Mürzzuschlag;;;;;Steiermark;050100/36083;050100/936083;;;;;1643827
Zweigstelle;346071;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Kirchbach;Kirchbach 10;8082;Kirchbach;Feldbach;;;;;Steiermark;050100/36274;050100/936274;;;;;1643827
Zweigstelle;7489803;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Knittelfeld;Hauptplatz 7;8720;Knittelfeld;Knittelfeld;;;;;Steiermark;050100/36257;050100/936257;;;;;1643827
Zweigstelle;346101;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Knittelfeld-Parkstraße;Parkstraße 29;8720;Knittelfeld;Knittelfeld;;;;;Steiermark;050100/36268;050100/936268;;;;;1643827
Zweigstelle;346063;20815;;Sparkassen;;Steiermärkische Bank und Sparkassen AG Filiale Krieglach;Erzherzog-Johann-Straße 1;8670;Krieglach;Mürzzuschlag;;;;;Steiermark;050100/36085;050100/936085;;;;19380101;1643827
